Start_time, Request_Type, Latency, Response_Code
18:31:22.226713, POST, 523.0, 201
18:31:22.225712500, POST, 526.0, 201
18:31:22.226713, POST, 526.0, 201
18:31:22.226713, POST, 526.0, 201
18:31:22.225712500, POST, 526.0, 201
18:31:22.226713, POST, 526.0, 201
18:31:22.226713, POST, 526.0, 201
18:31:22.225712500, POST, 526.0, 201
18:31:22.225712500, POST, 526.0, 201
18:31:22.226713, POST, 527.0, 201
18:31:22.225712500, POST, 529.0, 201
18:31:22.225712500, POST, 529.0, 201
18:31:22.225712500, POST, 529.0, 201
18:31:22.226713, POST, 523.0, 201
18:31:22.225712500, POST, 530.0, 201
18:31:22.225712500, POST, 530.0, 201
18:31:22.752192, POST, 6.0, 201
18:31:22.753192200, POST, 6.0, 201
18:31:22.757196300, POST, 2.0, 201
18:31:22.752192, POST, 7.0, 201
18:31:22.755194600, POST, 5.0, 201
18:31:22.752192, POST, 8.0, 201
18:31:22.756195, POST, 4.0, 201
18:31:22.757196300, POST, 4.0, 201
18:31:22.756195, POST, 5.0, 201
18:31:22.755194600, POST, 7.0, 201
18:31:22.752192, POST, 18.0, 201
18:31:22.753192200, POST, 17.0, 201
18:31:22.753192200, POST, 17.0, 201
18:31:22.760198900, POST, 12.0, 201
18:31:22.761199800, POST, 11.0, 201
18:31:22.763201400, POST, 9.0, 201
18:31:22.761199800, POST, 12.0, 201
18:31:22.753192200, POST, 20.0, 201
18:31:22.760198900, POST, 14.0, 201
18:31:22.762200800, POST, 12.0, 201
18:31:22.753192200, POST, 22.0, 201
18:31:22.761199800, POST, 14.0, 201
18:31:22.761199800, POST, 14.0, 201
18:31:22.754193500, POST, 21.0, 201
18:31:22.759197900, POST, 16.0, 201
18:31:22.759197900, POST, 16.0, 201
18:31:22.774211400, POST, 11.0, 201
18:31:22.773210700, POST, 12.0, 201
18:31:22.775212500, POST, 11.0, 201
18:31:22.771208700, POST, 15.0, 201
18:31:22.773210700, POST, 13.0, 201
18:31:22.775212500, POST, 12.0, 201
18:31:22.771208700, POST, 16.0, 201
18:31:22.772209600, POST, 14.0, 201
18:31:22.771208700, POST, 16.0, 201
18:31:22.772209600, POST, 15.0, 201
18:31:22.775212500, POST, 13.0, 201
18:31:22.773210700, POST, 16.0, 201
18:31:22.776213600, POST, 12.0, 201
18:31:22.775212500, POST, 13.0, 201
18:31:22.776213600, POST, 13.0, 201
18:31:22.775212500, POST, 14.0, 201
18:31:22.787223500, POST, 13.0, 201
18:31:22.787223500, POST, 13.0, 201
18:31:22.788225, POST, 13.0, 201
18:31:22.786222700, POST, 14.0, 201
18:31:22.789225500, POST, 12.0, 201
18:31:22.787223500, POST, 14.0, 201
18:31:22.787223500, POST, 14.0, 201
18:31:22.786222700, POST, 15.0, 201
18:31:22.789225500, POST, 13.0, 201
18:31:22.789225500, POST, 13.0, 201
18:31:22.786222700, POST, 16.0, 201
18:31:22.789225500, POST, 14.0, 201
18:31:22.787223500, POST, 16.0, 201
18:31:22.789225500, POST, 14.0, 201
18:31:22.789225500, POST, 14.0, 201
18:31:22.786222700, POST, 17.0, 201
18:31:22.801235900, POST, 15.0, 201
18:31:22.804238600, POST, 13.0, 201
18:31:22.801235900, POST, 16.0, 201
18:31:22.802237, POST, 15.0, 201
18:31:22.802237, POST, 16.0, 201
18:31:22.803237700, POST, 14.0, 201
18:31:22.802237, POST, 15.0, 201
18:31:22.803237700, POST, 15.0, 201
18:31:22.802237, POST, 16.0, 201
18:31:22.804238600, POST, 14.0, 201
18:31:22.801235900, POST, 17.0, 201
18:31:22.801235900, POST, 18.0, 201
18:31:22.801235900, POST, 17.0, 201
18:31:22.801235900, POST, 18.0, 201
18:31:22.803237700, POST, 17.0, 201
18:31:22.804238600, POST, 17.0, 201
18:31:22.817250900, POST, 14.0, 201
18:31:22.818251500, POST, 13.0, 201
18:31:22.818251500, POST, 14.0, 201
18:31:22.818251500, POST, 14.0, 201
18:31:22.817250900, POST, 14.0, 201
18:31:22.821254800, POST, 11.0, 201
18:31:22.817250900, POST, 15.0, 201
18:31:22.819252600, POST, 14.0, 201
18:31:22.819252600, POST, 13.0, 201
18:31:22.817250900, POST, 16.0, 201
18:31:22.819252600, POST, 15.0, 201
18:31:22.820253200, POST, 14.0, 201
18:31:22.819252600, POST, 15.0, 201
18:31:22.819252600, POST, 16.0, 201
18:31:22.818251500, POST, 16.0, 201
18:31:22.819252600, POST, 16.0, 201
18:31:22.832264400, POST, 15.0, 201
18:31:22.835267100, POST, 11.0, 201
18:31:22.834266400, POST, 14.0, 201
18:31:22.833265400, POST, 14.0, 201
18:31:22.835267100, POST, 13.0, 201
18:31:22.835267100, POST, 13.0, 201
18:31:22.832264400, POST, 16.0, 201
18:31:22.834266400, POST, 14.0, 201
18:31:22.834266400, POST, 14.0, 201
18:31:22.833265400, POST, 16.0, 201
18:31:22.832264400, POST, 18.0, 201
18:31:22.833265400, POST, 16.0, 201
18:31:22.834266400, POST, 15.0, 201
18:31:22.833265400, POST, 17.0, 201
18:31:22.832264400, POST, 18.0, 201
18:31:22.832264400, POST, 18.0, 201
18:31:22.850281, POST, 13.0, 201
18:31:22.847278100, POST, 16.0, 201
18:31:22.850281, POST, 13.0, 201
18:31:22.850281, POST, 14.0, 201
18:31:22.849279900, POST, 15.0, 201
18:31:22.849279900, POST, 16.0, 201
18:31:22.850281, POST, 15.0, 201
18:31:22.847278100, POST, 18.0, 201
18:31:22.850281, POST, 15.0, 201
18:31:22.848278800, POST, 17.0, 201
18:31:22.851281700, POST, 15.0, 201
18:31:22.849279900, POST, 17.0, 201
18:31:22.850281, POST, 16.0, 201
18:31:22.849279900, POST, 17.0, 201
18:31:22.848278800, POST, 19.0, 201
18:31:22.848278800, POST, 19.0, 201
18:31:22.863292400, POST, 16.0, 201
18:31:22.866295500, POST, 14.0, 201
18:31:22.865294400, POST, 15.0, 201
18:31:22.866295500, POST, 15.0, 201
18:31:22.867296400, POST, 14.0, 201
18:31:22.867296400, POST, 15.0, 201
